SECTION,OFFENSE DESCRIPTION,OFFENSE TYPE,OFFENSE GRAVITY
1.1,"Neglecting or refusing after due demand or notice, or as provided by existing policies without justifiable reason, to remit, pay, reimburse, or liquidate any money, collection or other properties entrusted to him/her by the company, or received by him/her from a business associate or stakeholders or their representative for his administration, or under any other obligation to make delivery of, or return the same. (Type D)",E,CAPITAL
1.2.1,"Inflicting physical injury on any employee or person, or having inflicted physical injury while within or outside company property or premises or job areas where such outside incident has relation to work or company activities. (Type D)",D,GRAVE
1.2.2,"An attempt to inflict physical injury on any employee or person, or having inflicted physical injury while within or outside company property or premises or job areas where such outside incident has relation to work or company activities. (Type C)",C,SERIOUS
1.3,"Any act constituting threat, intimidation, or coercion against any person, or in any manner unduly interfering with, or company operations or other employees from performing their work while within company property or premises or job areas. (Type D)",D,GRAVE
1.4,Fighting or engaging another in a fight while within or outside company property or premises or job areas provided such outside incident has relation to work or has arisen while inside company premises. (Type D),D,GRAVE
1.5,"Inciting or provoking a fight under the circumstances described in Section 4 above, but where a fight does not occur. (Type C)",C,SERIOUS
1.6,Persistently telling smutty jokes that are found offensive by others within office premises. (Type C),C,SERIOUS
1.7,Any immoral act by the employee either by himself or with another person; including but not limited to sexual harassment committed within company property or premises or job areas or during company activities. (Type E),E,CAPITAL
2.1,"Theft, robbery or appropriation for personal gain, benefit or profit of any the property of the company or of a fellow employee or a client or customer of the company, regardless of the amount involved. (Type E)",E,CAPITAL
2.2,Swindling or malversation (estafa) of funds or property of the company or of a fellow employee or of a customer of the company. (Type E),E,CAPITAL
2.3,Obtaining supplies or materials on fraudulent orders or requests. (Type E),E,CAPITAL
2.4,"Unauthorized substitutions of company material or equipment with another or of poorer quality, or lesser value. (Type E)",E,CAPITAL
2.5.1,"Alteration or removal, without authorization, of any property of the company, or other employees resulting in irreparable damage thereto. (Type E)",E,CAPITAL
2.5.2,"Alteration or removal, without authorization, of any property of the company, or other employees resulting in reparable damage thereto. (Type D)",D,GRAVE
2.6,"Using company time, material and/or equipment to do unauthorized work within or outside premises, for personal gain which includes using company time and facilities in personal dealership, selling, and other non-work related activities. (Type D)",D,GRAVE
2.7,"Neglecting or refusing after due demand or notice, or as provided by existing policies without justifiable reason, to remit, pay, reimburse, or liquidate any money, collection or other properties entrusted to him/her by the company, or received by him/her from a business associate or stakeholders or their representative for his administration, or under any other obligation to make delivery of, or return the same. (Type D)",D,GRAVE
2.8,"Malicious or willful destruction or misuse of company property or that of any employee, or customer of the company. (Type D)",D,GRAVE
2.9.1,"Damage to Company Property: Any harm or impairment that affects company property's functionality, appearance, or value. Damage amounts from Php 1 to Php 5,000. (Type A)",A,LIGHT
2.9.2,"Damage to Company Property: Any harm or impairment that affects company property's functionality, appearance, or value. Damage amount from Php 5,001 to Php 10,000. (Type B)",B,MINOR
2.9.3,"Damage to Company Property: Any harm or impairment that affects company property's functionality, appearance, or value. Damage amount from Php 10,001 to Php 30,000. (Type C)",C,SERIOUS
2.9.4,"Damage to Company Property: Any harm or impairment that affects company property's functionality, appearance, or value. Damage amounts from Php 30,001 to Php 80,000. (Type D)",D,GRAVE
2.9.5,"Damage to Company Property: Any harm or impairment that affects company property's functionality, appearance, or value. The total amount of damage exceeded Php 80,001. (Type E)",E,CAPITAL
2.1,"Lending or using Company funds, assets, collection, or money without authorization. (Type D)",D,GRAVE
2.11.1,"Shortage in remittance due to computation negligence and dishonesty. Amount short from Php 500 to Php 1,000. (Type C)",C,SERIOUS
2.11.2,"Shortage in remittance due to computation negligence and dishonesty. Amount short from Php 1,001 to Php 5,000. (Type D)",D,GRAVE
2.11.3,"Shortage in remittance due to computation negligence and dishonesty. Amount short exceeding Php 5,001. (Type E)",E,CAPITAL
2.12,Not returning ticket after duty (Type D),D,GRAVE
3.1,Falsification of documents relating to personal records or data or misrepresentation of any information concerning personal circumstances and qualification. (Type E),E,CAPITAL
3.2,Falsification or unauthorized alteration of personnel or company records and/or using said falsified records for personal gain or benefit. (Type E),E,CAPITAL
3.3,"Any attempt to falsify or pad expense reports, receipts, invoices, or any other document, upon which reimbursement and remittance is based. (Type E)",E,CAPITAL
3.4,"Favoring suppliers, customer, or any other person in consideration of kickbacks, personal rebates or any valuable consideration. (Type E)",E,CAPITAL
3.5,"Offering or accepting anything of value in exchange for a job, work assignment, work location, or favorable condition of employment. (Type E)",E,CAPITAL
3.6,"Directly or indirectly requesting or receiving any gift, present, share, percentage, or any form of benefit or favor, for himself/herself or for any other person in connection with any business, contract, application, or transaction between the company and any other party, wherein the employee in his official capacity has to intervene. (Type E)",E,CAPITAL
3.7,"Directly or indirectly having financial or pecuniary interest in any business, contract or transaction in connection with which he intervenes or takes part in his official capacity. (Type E)",E,CAPITAL
3.8,"Unauthorized actions clearly over one’s authority such as but not limited to, acts of disbursing, releasing, or authorizing disbursement of company funds without written authority by one’s superior or similar acts that go beyond or outside his authority or responsibility, where the interest of the company is prejudiced. (Type D)",D,GRAVE
3.9,"Giving a company ID or identification material to any person not entitled to it, or assisting non-employees to enter the company premises and restricted areas without the company’s permission. (Type D)",D,GRAVE
3.1,"Failure to wear the ID and uniform, or wearing an altered, deformed, or mutilated uniform. (Type A)",A,LIGHT
3.11,"Giving away or unauthorized disclosure of company trade secrets and/or trade practices or trade processes or any valuable information acquired by his office, or by him on account of his position, to unauthorized persons, or making available such information in advance of its authorized release date and where in the process, the interest of the company is prejudiced. (Type E)",E,CAPITAL
3.12,"Loitering, wasting time, leaving the place of work during working hours without permission from his/her supervisor, department head, or any designated person, or leaving the company compound without permission at any time before the end of the employee’s work shift. (Type B)",B,MINOR
3.13,Malingering or feigning illness to avoid doing assigned work or reporting for work. (This includes absence due to Sick Leave but employee is neither at home nor at any medical institution). (Type B),B,MINOR
3.14,Sleeping on or while on duty. (Type B),B,MINOR
3.15,"Failure to follow written or oral instructions made by Company superiors, as well as Company memorandum and circulars, or failure to perform assigned work due to negligence. (Type B)",B,MINOR
3.16,"Persuading, inducing, or influencing another employee to perform an act constituting a violation of this Code or other existing rules and regulations or policies on an office in connection with the duty or function of the latter allowing himself to be persuaded, induced, or influenced to commit such violation or offense. Penalty for the violation committed shall likewise be imposed on the person who employed persuasion, inducement, or influence. (Type C)",C,SERIOUS
3.17,"Failure to shut off the engine or using aircon, TV, radio, wifi while the bus is parked. (Type B)",B,MINOR
3.18,Abandoning assigned duty or trip. (Type C),C,SERIOUS
3.19,Making unauthorized trip or cutting trip and stopping for an unauthorized stopover. (Type C),C,SERIOUS
3.2,Failure to bring onboard the OR/CR of the bus. (Type C),C,SERIOUS
