BUS NO,PLATE NO,COMPANY,GARAGE
471901,NBT1539,ES TRANS.,MIRASOL
4701906,NBR8351,ES TRANS.,MIRASOL
4701907,NBR8354,ES TRANS.,MIRASOL
4701908,NBR8349,ES TRANS.,MIRASOL
4701909,NBR8348,ES TRANS.,MIRASOL
4701910,NBR8347,ES TRANS.,MIRASOL
4701911,NBR8346,ES TRANS.,MIRASOL
4701912,NDL7299,EARTH STAR,MIRASOL
4701913,NDL7302,EARTH STAR,BALINTAWAK
47019130,NDL7303,EARTH STAR,BALINTAWAK
47019130,NDL7304,EARTH STAR,MIRASOL
4701914,NDL7305,EARTH STAR,MIRASOL
4701915,NDL7306,EARTH STAR,MIRASOL
471806,NDL7368,EARTH STAR,BALINTAWAK
471807,NDJ2694,EARTH STAR,MIRASOL
471808,NDJ2693,EARTH STAR,BALINTAWAK
471809,NDJ2690,EARTH STAR,MIRASOL
471810,NDJ2697,EARTH STAR,MIRASOL
471811,NDJ2695,EARTH STAR,MIRASOL
471812,NDJ2698,EARTH STAR,MIRASOL
471814,NDJ2699,EARTH STAR,MIRASOL
471815,NDJ2696,EARTH STAR,MIRASOL
471816,NDJ2698,EARTH STAR,MIRASOL
471817,NDL7298,EARTH STAR,MIRASOL
471818,NDL7367,EARTH STAR,MIRASOL
471819,NDL7366,EARTH STAR,BALINTAWAK
471820,NDJ2855,EARTH STAR,MIRASOL
471821,NDJ2856,EARTH STAR,MIRASOL
471822,NDL7301,EARTH STAR,MIRASOL
471823,NDL7300,EARTH STAR,MIRASOL
471824,NBR8378,ES TRANS.,MIRASOL
471825,NBR8345,ES TRANS.,MIRASOL
471871,NBR8344,ES TRANS.,MIRASOL
471871,NBR8373,ES TRANS.,MIRASOL
4719001,NBR8371,ES TRANS.,MIRASOL
4719002,NBR8369,ES TRANS.,MIRASOL
4719003,NBT1538,ES TRANS.,MIRASOL
4719004,NBR8367,ES TRANS.,MIRASOL
4719005,NBR8379,ES TRANS.,MIRASOL
4719006,NBR8380,ES TRANS.,MIRASOL
4719007,NBR8381,ES TRANS.,MIRASOL
4719008,NDO1039,ES TRANS.,MIRASOL
