Bus Number,Plate Number,Company,Garage,Status,Storage Area,Breakdown Start Date,Breakdown End Date,Column 11,Days in Breakdown,Unit Location,Progress,Remarks
4719005,NFZ 4616,JELL,BALINTAWAK,Accident Related Breakdown,,19-Feb-25,,6/22/2026,488,,Broken glass,"rear windshield"
4719006,NFZ 4730,JELL,BALINTAWAK,Mechanical Breakdown,,23-Sep-24,,6/22/2026,637,,HOLD,"ongoing repair"
4719007,NFZ 4726,JELL,BALINTAWAK,Accident Related Breakdown,,19-Feb-25,,6/22/2026,488,,Broken glass,"#6 LH"
4720034,NFZ 4738,JELL,BALINTAWAK,Accident Related Breakdown,,9-Apr-25,,6/22/2026,439,,Broken glass,windshield
4720037,NFZ 4742,JELL,BALINTAWAK,Accident Related Breakdown,,19-Feb-25,,6/22/2026,488,,Broken glass,"Windshield / documents"
4721048,NGP 8468,JELL,BALINTAWAK,Accident Related Breakdown,,9-Apr-25,,6/22/2026,439,,Broken glass,"driver side"
4721049,NGP 8469,JELL,BALINTAWAK,Accident Related Breakdown,,,,,0,,Broken glass,"right side #1,2"
4721053,UIL 879,JELL,BALINTAWAK,Accident Related Breakdown,,,,,0,,Broken glass,"Rear windshield"
4721066,NFZ 4706,JELL,BALINTAWAK,Accident Related Breakdown,,3-Mar-25,,6/22/2026,476,,Broken glass,windshield
4721074,NDO 1019,JELL,BALINTAWAK,Accident Related Breakdown,,30-Mar-25,,6/22/2026,449,,Broken glass,windshield
4721080,NDO 1035,JELL,BALINTAWAK,Accident Related Breakdown,,5-Dec-24,,6/22/2026,564,,Broken glass,"#3,6 left side"
4721092,NDO 1029,JELL,BALINTAWAK,Accident Related Breakdown,,6-Dec-24,,6/22/2026,563,,Broken glass,"3,5,6 left side"
4721094,NDO 1033,JELL,BALINTAWAK,Mechanical Breakdown,,22-Sep-24,,6/22/2026,638,,HOLD,"Injector nozzle"
471806,NBC 7686,KELLEN,BALINTAWAK,Accident Related Breakdown,,22-Oct-24,,6/22/2026,608,,Broken glass,"#5 right side"
471807,NBC 7710,KELLEN,BALINTAWAK,Accident Related Breakdown,,5-Dec-24,,6/22/2026,564,,Broken glass,"#5 left side"
471811,NBC 7700,KELLEN,BALINTAWAK,Accident Related Breakdown,,22-Oct-24,,6/22/2026,608,,Broken glass,"#5 left side"
471871,NBC 7695,KELLEN,BALINTAWAK,Accident Related Breakdown,,8-Dec-24,,6/22/2026,561,,Broken glass,"#5,6 left side"
471818,NBC 7676,KELLEN,BALINTAWAK,Mechanical Breakdown,,,,,0,,HOLD,"for restoration"
4720018,NFZ 4808,JELL,BALINTAWAK,Accident Related Breakdown,,12-Apr-25,,6/22/2026,436,,Broken glass,"driver side"
4721054,NGP 8470,JELL,BALINTAWAK,Accident Related Breakdown,,,,,0,,HOLD,"involve accident"
4719011,NGA 3527,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,"low power/adble pump"
4719015,NFZ 4725,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,"clutch disc"
4720027,NFZ 4748,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,"clutch disc"
4720035,NFZ 4739,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,windshield
4721061,NFZ 4703,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,"clutch disc"
4721098,NDZ 5345,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,transmission
4719012,NFZ 4724,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,HOLD,
4721050,NFZ 4704,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,HOLD,"clutch disc"
4721064,NFZ 4705,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,HOLD,
471929,NDJ 3061,KELLEN,BALINTAWAK,Accident Related Breakdown,,,,,0,,HOLD,"WAITING PARTS"
471810,NBC 7689,KELLEN,BALINTAWAK,Mechanical Breakdown,,,,,0,,Trouble,"clutch disc"
4721051,NGP 8465,JELL,BALINTAWAK,Accident Related Breakdown,,4-Jun-21,,6/22/2026,"1,844",,Unit at CASA,"Total wreck"
4719003,NFZ 4722,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4719013,UIL 803,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4719014,NFZ 4723,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720017,NFZ 4731,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720020,NFZ 4813,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720021,NFZ 4732,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720025,NFZ 4811,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720036,NFZ 4740,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720039,NFZ 4741,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4720040,NFZ 4733,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721044,NFZ 4721,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721056,UIL 978,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721060,NFZ 4711,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721062,NDO 1932,JELL,BALINTAWAK,Mechanical Breakdown,,,,,0,,,
4721067,NFZ 4710,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721069,NGP 8472,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721084,NGR 4683,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721087,NDO 1021,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721090,NDO 1031,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4722108,NEW 3061,JELL,BALINTAWAK,Running Condition,,,,,0,,,
4721095,NDO 1034,JELL,BALINTAWAK,,,,,,0,,,
